sport,season,competition_name,event_i_d,event_name_short,event_gender,competition_date,name,person_i_d,person_age_days,country,rank,snatch1,snatch1_success,snatch2,snatch2_success,snatch3,snatch3_success,cj1,cj1_success,cj2,cj2_success,cj3,cj3_success,total
Weightlifting,2024,Phuket,100017474,61kg ,Men,2024-04-01,SILACHAI Theerapong,2372290,7440.0,THA,5.0,125,True,128,True,130,False,162,True,167,True,171,True,299
Weightlifting,2024,Phuket,100017474,61kg ,Men,2024-04-01,ALOTAIBI Fahad H T H,2500996,5765.0,KUW,16.0,85,False,85,False,85,True,105,True,110,False,110,True,195
Weightlifting,2024,Phuket,100017483,81kg ,Men,2024-04-09,RI Chong Song,1273591,9810.0,PRK,1.0,160,True,166,False,166,True,200,True,210,False,210,False,366
Weightlifting,2024,Phuket,100017483,81kg ,Men,2024-04-09,MEREDOV Maksad,1645469,8691.0,TKM,2.0,142,True,146,True,150,False,175,True,182,True,0,False,328
Weightlifting,2024,Phuket,100017483,81kg ,Men,2024-04-09,GUERTIN Samuel,1818361,8623.0,CAN,3.0,140,False,140,False,140,True,170,True,175,True,180,False,315
Weightlifting,2024,Phuket,100017483,81kg ,Men,2024-04-09,MEARS Omarie Akiel,2192654,11136.0,JAM,4.0,115,True,119,True,123,False,145,False,145,False,145,True,264
Weightlifting,2024,Phuket,100017483,81kg ,Men,2024-04-09,GADNEY Andre William,2410838,16036.0,RSA,5.0,114,True,120,False,122,False,132,True,137,True,142,False,251
Weightlifting,2024,Phuket,100017483,81kg ,Men,2024-04-09,AlTHAFIRI Falah A H M,2521180,,KUW,6.0,84,True,90,True,92,True,105,True,114,True,120,False,206
Weightlifting,2024,Phuket,100017483,81kg ,Men,2024-04-09,MARTINS GARCIA VALENTE Jose Fernanior,1715892,9307.0,TLS,7.0,88,True,91,True,93,True,112,True,115,False,115,False,205
Weightlifting,2024,Phuket,100017483,81kg ,Men,2024-04-09,ANDREEV Bozhidar Dimitrov,1093405,9944.0,BUL,,0,False,0,False,0,False,0,False,0,False,0,False,0
Weightlifting,2024,Phuket,200017516,45kg ,Women,2024-03-31,WON Hyon Sim,2065890,8034.0,PRK,1.0,80,True,85,True,87,True,100,True,106,True,109,True,196
Weightlifting,2024,Phuket,200017516,45kg ,Women,2024-03-31,PRAMONGHKHOL Siriwimon,859892,10715.0,THA,2.0,73,False,73,True,75,True,90,True,96,True,101,True,176
Weightlifting,2024,Phuket,200017516,45kg ,Women,2024-03-31,KHONG My Phuong,1378063,9036.0,VIE,3.0,72,True,74,True,76,True,84,True,86,False,86,False,160
Weightlifting,2024,Phuket,200017516,45kg ,Women,2024-03-31,KAMNOEDSRI Khemika,2408840,7010.0,THA,4.0,67,True,69,True,71,True,82,True,86,False,86,False,153
Weightlifting,2024,Phuket,200017516,45kg ,Women,2024-03-31,ISMAYILOVA Nazila,2405391,9457.0,AZE,5.0,55,True,60,False,60,False,65,True,69,False,72,True,127
Weightlifting,2024,Phuket,200017516,45kg ,Women,2024-03-31,NGUYEN Thi Hoai,2401575,6554.0,VIE,,68,True,70,True,72,True,85,False,85,False,85,False,0
Weightlifting,2024,Phuket,200017516,45kg ,Women,2024-03-31,HONG Zi-Yu,1958307,7932.0,TPE,,68,False,68,False,68,True,86,False,86,False,86,False,0
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,TOUA Loa Dika,293199,14527.0,PNG,17.0,73,True,75,True,77,False,96,False,96,False,96,True,171
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,LOPEZ FERRER Ana Gabriela,858385,10784.0,MEX,9.0,84,True,87,True,88,False,100,True,104,False,104,False,187
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,PIRON CANDELARIO Beatriz Elizabeth,859884,10626.0,DOM,,0,False,0,False,0,False,0,False,0,False,0,False,0
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,DE LA HERRAN MARTINEZ Andrea,1093445,10063.0,MEX,15.0,78,True,81,False,81,False,95,False,95,True,100,False,173
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,MIRABAI Chanu Saikhom,1144799,10829.0,IND,12.0,75,True,79,True,81,True,98,True,103,True,106,False,184
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,SUKCHAROEN Thanyathon,1163342,9842.0,THA,,88,True,91,True,93,False,0,False,0,False,0,False,0
Weightlifting,2024,Phuket,200017519,49kg ,Women,2024-03-31,FANG Wan Ling,1163354,9211.0,TPE,7.0,82,True,84,True,85,False,102,True,104,True,108,True,192
