name,country,snatch1,snatch2,snatch3,cj1,cj2,cj3,total,snatch1_success,snatch2_success,snatch3_success,cj1_success,cj2_success,cj3_success
ALOTAIBI Fahad H T H,KUW,85,85,85,105,110,110,195,False,False,True,True,False,True
IANCU Valentin-Ionadi,ROU,105,0,0,0,0,0,0,False,False,False,False,False,False
DIMOV Ivan Petkov,BUL,0,0,0,0,0,0,0,False,False,False,False,False,False
BRANDHUBER Simon Josef,GER,128,130,130,0,0,0,0,False,False,False,False,False,False
SHIN Rok,KOR,128,129,129,160,160,0,0,False,False,False,False,False,False
ELIS Mustafa,TUR,119,119,120,0,0,0,0,False,False,False,False,False,False
BARDALEZ TUISIMA Luis David,PER,120,120,120,155,160,160,0,False,False,False,True,False,False
CHEN Lijun,CHN,140,140,143,0,0,0,0,False,False,False,False,False,False
SAPUTRA Ricko,INA,130,132,134,0,0,0,0,False,False,False,False,False,False
MIRZAYEV Seyitjan,TKM,130,130,133,150,0,0,0,False,False,False,False,False,False
MASSIDDA Sergio,ITA,140,145,145,165,170,172,317,True,False,True,True,False,True
RI Won Ju,PRK,135,141,144,174,182,189,333,True,True,True,True,True,True
YASIN Mohammad,INA,130,133,140,160,165,165,293,True,True,False,True,False,False
RATPHET Teerawat,THA,125,130,132,155,160,165,292,True,True,True,True,True,False
DING Hongjie,CHN,125,128,131,165,165,165,0,True,True,False,False,False,False
AL BUSAIDI Elyas Tamim,OMA,120,126,130,150,157,160,276,True,True,False,True,False,False
THONGSUK Patsaphong,THA,115,120,123,145,150,155,278,True,True,True,True,True,True
MURATBEK UULU Ishimbek,KGZ,118,122,125,160,166,172,294,True,True,False,True,True,True
HU Jyun-Siang,TPE,115,115,115,155,163,166,270,False,False,True,True,False,False
ABDULJALIL Munther Ahmed Mohammed Abdulla,UAE,78,78,78,95,100,102,180,False,False,True,True,True,True
SHI Zhiyong,CHN,161,164,165,191,195,196,356,True,False,True,True,False,False
JUNIANSYAH Rizki,INA,155,164,164,192,201,203,365,True,False,True,True,True,False
ABDULLAH Rahmat Erwin,INA,155,160,162,195,206,206,355,True,True,False,True,False,False
MIYAMOTO Masanori,JPN,150,155,158,187,192,0,350,True,False,True,True,True,False
SUHAREVS Ritvars,LAT,151,154,157,178,184,187,341,True,True,True,True,True,False
RASHIDOV Bunyad,TKM,152,155,158,170,181,181,325,False,True,False,True,False,False
JAVADOV Omar,AZE,149,153,156,170,175,178,328,True,True,False,True,True,False
GUTU Roberto,GER,148,152,153,175,183,183,0,True,True,True,False,False,False
REYIMOV Bektimur,TKM,150,153,153,180,183,184,333,True,False,True,True,False,False
CALJA Briken,ALB,145,150,152,181,185,185,333,True,True,True,True,False,False
OZBEK Muhammed Furkan,TUR,148,150,152,186,189,189,341,True,True,True,True,False,True
MAYORA PERNA Julio Ruben,VEN,147,151,151,183,185,188,339,True,False,True,True,True,True
MOSQUERA LOZANO Luis Javier,COL,150,150,154,180,185,188,335,False,True,False,True,True,False
BAK Joohyo,KOR,147,147,150,192,195,199,345,False,True,True,True,True,False
LEE Sangyeon,KOR,148,148,151,195,198,198,0,False,True,False,False,False,False
UMOAFIA Edidiong Joseph,NGR,142,147,150,172,177,177,319,True,True,False,True,False,False
LANG Max Richard,GER,143,147,149,180,189,189,327,True,True,False,True,False,False
BEN HNIA Karem,TUN,145,147,149,175,0,0,322,True,True,False,True,False,False
WICHUMA Weeraphon,THA,147,150,151,192,193,193,0,True,False,False,False,False,False
MURRAY Christopher John,GBR,144,146,150,0,0,0,0,False,True,False,False,False,False
GENC Yusuf Fehmi,TUR,146,149,149,184,185,190,0,True,False,False,False,False,False
RUSTAMOV Isa,AZE,140,145,145,170,175,180,320,True,False,True,True,True,False
TOSHTEMIROV Mukhammadkodir,UZB,145,149,152,172,172,172,0,True,False,False,False,False,False
GRIMSLAND Ryan Henry,USA,145,150,150,185,187,191,0,True,False,False,False,False,False
KINGUE MATAM Bernardin Ledoux,FRA,143,145,145,177,183,183,0,True,False,False,False,False,False
CAHOY Caden Taiyo,USA,143,147,147,187,193,193,0,True,False,False,False,False,False
CHIANG Tsung-Han,TPE,138,142,142,168,173,177,319,True,False,True,True,True,True
MUHAMMAD Erry Hidayat,MAS,140,140,140,165,170,174,310,False,False,True,True,True,False
CHUANG Sheng-Min,TPE,140,144,144,172,177,180,317,True,False,False,True,True,False
REYES VIDAL Jair Abimelet,ECU,140,140,145,0,0,0,0,False,True,False,False,False,False
CARDENAS ESTRADA Jorge Adan,MEX,140,140,140,160,165,170,310,False,False,True,True,True,True
KUDLASZYK Piotr Mateusz,POL,137,140,140,176,177,177,0,True,False,False,False,False,False
VACHON Nicolas,CAN,135,135,135,170,177,177,305,False,False,True,True,False,False
DISSANAYAKE MUDIYANSELAGE Indika C D,SRI,127,131,133,157,160,162,291,True,True,False,True,True,False
TAIIROV Elzar,KGZ,125,130,135,145,152,157,282,True,True,False,True,True,False
RAOBU Manuila,TUV,116,120,126,146,153,153,272,True,True,True,True,False,False
ANDRIATSITOHAINA Tojonirina Alain,MAD,145,146,146,0,0,0,0,False,False,False,False,False,False
ZANNI Mirko,ITA,150,153,153,0,0,0,0,False,False,False,False,False,False
KONNAI Mitsunori,JPN,145,145,150,0,0,0,0,False,False,False,False,False,False
SANCHEZ LOPEZ David,ESP,0,0,0,0,0,0,0,False,False,False,False,False,False
YOKUBOV Doston,UZB,141,141,144,178,183,183,0,False,False,False,True,False,False
RI Chong Song,PRK,160,166,166,200,210,210,366,True,False,True,True,False,False
MEREDOV Maksad,TKM,142,146,150,175,182,0,328,True,True,False,True,True,False
GUERTIN Samuel,CAN,140,140,140,170,175,180,315,False,False,True,True,True,False
MEARS Omarie Akiel,JAM,115,119,123,145,145,145,264,True,True,False,False,False,True
GADNEY Andre William,RSA,114,120,122,132,137,142,251,True,False,False,True,True,False
